109 287 {'SUID': 289, 'selected': False, 'interaction type': 'reaction-reactant'}
108 283 {'SUID': 284, 'selected': False, 'interaction type': 'reaction-product'}
107 283 {'SUID': 286, 'selected': False, 'interaction type': 'reaction-modifier'}
107 281 {'SUID': 282, 'selected': False, 'interaction type': 'reaction-reactant'}
106 287 {'SUID': 288, 'selected': False, 'interaction type': 'reaction-product'}
106 283 {'SUID': 285, 'selected': False, 'interaction type': 'reaction-reactant'}
106 197 {'SUID': 200, 'selected': False, 'interaction type': 'reaction-modifier'}
105 273 {'SUID': 275, 'selected': False, 'interaction type': 'reaction-reactant'}
104 277 {'SUID': 280, 'selected': False, 'interaction type': 'reaction-modifier'}
104 273 {'SUID': 274, 'selected': False, 'interaction type': 'reaction-product'}
103 269 {'SUID': 271, 'selected': False, 'interaction type': 'reaction-reactant'}
102 273 {'SUID': 276, 'selected': False, 'interaction type': 'reaction-modifier'}
102 269 {'SUID': 270, 'selected': False, 'interaction type': 'reaction-product'}
101 253 {'SUID': 256, 'selected': False, 'interaction type': 'reaction-modifier'}
100 249 {'SUID': 252, 'selected': False, 'interaction type': 'reaction-modifier'}
99 245 {'SUID': 248, 'selected': False, 'interaction type': 'reaction-modifier'}
98 241 {'SUID': 244, 'selected': False, 'interaction type': 'reaction-modifier'}
97 237 {'SUID': 240, 'selected': False, 'interaction type': 'reaction-modifier'}
96 233 {'SUID': 236, 'selected': False, 'interaction type': 'reaction-modifier'}
96 230 {'SUID': 232, 'selected': False, 'interaction type': 'reaction-reactant'}
96 226 {'SUID': 227, 'selected': False, 'interaction type': 'reaction-product'}
95 230 {'SUID': 231, 'selected': False, 'interaction type': 'reaction-product'}
95 226 {'SUID': 228, 'selected': False, 'interaction type': 'reaction-reactant'}
94 277 {'SUID': 278, 'selected': False, 'interaction type': 'reaction-product'}
94 222 {'SUID': 224, 'selected': False, 'interaction type': 'reaction-reactant'}
93 277 {'SUID': 279, 'selected': False, 'interaction type': 'reaction-reactant'}
93 222 {'SUID': 223, 'selected': False, 'interaction type': 'reaction-product'}
93 218 {'SUID': 221, 'selected': False, 'interaction type': 'reaction-modifier'}
92 210 {'SUID': 213, 'selected': False, 'interaction type': 'reaction-modifier'}
91 210 {'SUID': 211, 'selected': False, 'interaction type': 'reaction-product'}
91 206 {'SUID': 208, 'selected': False, 'interaction type': 'reaction-reactant'}
90 226 {'SUID': 229, 'selected': False, 'interaction type': 'reaction-modifier'}
90 214 {'SUID': 217, 'selected': False, 'interaction type': 'reaction-modifier'}
90 210 {'SUID': 212, 'selected': False, 'interaction type': 'reaction-reactant'}
90 206 {'SUID': 207, 'selected': False, 'interaction type': 'reaction-product'}
89 201 {'SUID': 203, 'selected': False, 'interaction type': 'reaction-reactant'}
88 193 {'SUID': 196, 'selected': False, 'interaction type': 'reaction-modifier'}
87 122 {'SUID': 125, 'selected': False, 'interaction type': 'reaction-modifier'}
86 130 {'SUID': 133, 'selected': False, 'interaction type': 'reaction-modifier'}
85 257 {'SUID': 260, 'selected': False, 'interaction type': 'reaction-modifier'}
85 146 {'SUID': 149, 'selected': False, 'interaction type': 'reaction-modifier'}
85 138 {'SUID': 141, 'selected': False, 'interaction type': 'reaction-modifier'}
84 110 {'SUID': 112, 'selected': False, 'interaction type': 'reaction-reactant'}
83 193 {'SUID': 194, 'selected': False, 'interaction type': 'reaction-product'}
83 189 {'SUID': 191, 'selected': False, 'interaction type': 'reaction-reactant'}
82 193 {'SUID': 195, 'selected': False, 'interaction type': 'reaction-reactant'}
